"Timestamp","Test Number:","Are you satisfied with this round? Did you achieve what you expected?","Please rate your enjoyment in this round:","Please shortly describe your strategy in this round:","Additional comments for this round:"
"2018/03/21 8:02:35 AM MEZ","0401","1","2","Landing in a remote corner of the map",""
"2018/03/21 8:04:46 AM MEZ","0402","2","3","Landing in a city and get some good loot.",""
"2018/03/21 8:05:44 AM MEZ","403","3","3","Get more loot and better weapons.",""
"2018/03/21 8:06:40 AM MEZ","0404","2","3","Much loot and good weapons",""
"2018/03/21 8:07:40 AM MEZ","0405","3","3","Remote corner for good weapons.",""
"2018/03/21 8:08:37 AM MEZ","0406","3","4","Land in the big city and get better kills.",""
"2018/03/21 8:09:07 AM MEZ","0407","1","1","Big city for big guns",""
"2018/03/21 8:09:51 AM MEZ","0408","1","1","Big city for big guns",""
"2018/03/21 8:10:33 AM MEZ","0409","5","4","Landing in a remote place and find good loot",""
"2018/03/21 8:11:11 AM MEZ","0410","4","4","Remote corner for good loot.",""
"2018/03/21 8:14:16 AM MEZ","0301","4","4","Try and learn the controls, get a feel for gunplay","worked well"
"2018/03/21 8:15:10 AM MEZ","0302","3","4","Learn building, avoid combat",""
"2018/03/21 8:16:09 AM MEZ","0303","2","3","Bunker up, find gear","didn't really work"
"2018/03/21 8:18:59 AM MEZ","0304","1","4","Find Trouble, it found me...",""
"2018/03/21 8:19:30 AM MEZ","0305","2","4","Find a weapon",""
"2018/03/21 8:20:29 AM MEZ","0306","4","4","Find Weapon, bunker up",""
"2018/03/21 8:21:40 AM MEZ","0307","4","4","Bunker everywhere I am safe",""
"2018/03/21 8:22:30 AM MEZ","0308","5","5","Find remote place, bunker up then lure people there. Explore",""
"2018/03/21 8:29:14 AM MEZ","0201","2","4","Get some resources & morve to the ""eye of the storm"" before the storm starts.",""
"2018/03/21 8:32:13 AM MEZ","0202","1","3","Drop to a place & get a gun. But I was unlucky! Another player dropped in the same zone & got a gun before me. ",""
"2018/03/21 8:34:45 AM MEZ","0203","4","5","I planned to drop in an area, but I saw other (many) player aiming there as well, so I change to another. Then, moving toward the ""save zone""",""
"2018/03/21 8:35:35 AM MEZ","0204","1","2","Trying to test the change at sensibility for aiming but I drop in a house without guns!",""
"2018/03/21 8:36:21 AM MEZ","0205","1","4","Be a camper! Camping and survive!",""
"2018/03/21 8:36:57 AM MEZ","0206","4","4","Try to get better in ""building mechanics""",""
"2018/03/21 8:37:33 AM MEZ","0207","3","3","I didn't get a strategy in mind. Just drop & play!",""
"2018/03/21 8:48:54 AM MEZ","0505","4","5","Staying stealthy",""
"2018/03/21 8:50:03 AM MEZ","0504","5","5","Avoiding people, thinking ahead of the storm, looking to improve survivalibility",""
"2018/03/21 8:51:38 AM MEZ","0503","1","3","Spawning between center and edge - > beeing in storm but away from people",""
"2018/03/21 8:52:09 AM MEZ","0501","1","3","Looting savely and hiding from players.",""
"2018/03/21 8:52:55 AM MEZ","0502","3","4",">Staying away from people
>Getting to the circle ASAP",""
"2018/03/21 9:31:00 AM MEZ","0509","3","4","Spawn at edge
loot peacefully and stealthy",""
"2018/03/21 9:32:02 AM MEZ","0508","2","3","Spawning at edge, confront people with shotguns to affect bad aiming skills -> not successfull XD",""
"2018/03/21 9:32:53 AM MEZ","0507","3","4","Spawn at edge
loot while avoiding people",""
"2018/03/21 9:34:07 AM MEZ","0506","5","5","Avoid all people
use ongoing fights to advantage
build save space in center of storm",""
"2018/05/09 3:02:29 PM MEZ","1401","1","4","Land remote, get used to game",""
"2018/05/09 3:03:16 PM MEZ","1402","3","3","Loot finden, nicht erfolgreich",""
"2018/05/09 3:04:28 PM MEZ","1403","2","4","Außerhalb Waffe finden 1vs1 suchen, Spiel verstehen",""
"2018/05/09 3:05:25 PM MEZ","1404","5","5","Loot, 1v1, versteckt bleiben",""
"2018/05/09 3:06:02 PM MEZ","1405","4","3","PVP üben in Tilted Tower",""
"2018/05/09 3:06:52 PM MEZ","1406","2","2","Waffen finden","von C4 in Luft gejagt"
"2018/05/09 3:07:42 PM MEZ","1407","1","1","Remote Landing","got instantkilled"
"2018/05/09 3:08:10 PM MEZ","1408","2","3","remote, Waffe finden, überleben",""
"2018/05/09 3:09:03 PM MEZ","1409","4","4","Land in Prison, goto safezone","To late, died in storm"
"2018/05/09 3:09:36 PM MEZ","1410","5","3","Land Tilted Towers, fight",""
"2018/05/14 1:23:27 PM MEZ","1101","3","4","Trying to survive my first looting",""
"2018/05/14 1:24:10 PM MEZ","1102","1","2","Tried to loot a remote place",""
"2018/05/14 1:25:03 PM MEZ","1103","5","5","Landing next to another player, quick looting -> killing",""
"2018/05/14 1:26:10 PM MEZ","1104","1","2","Land in a crowded area, try to loot at first","Did not realize that another player landed in the same house"
"2018/05/14 1:27:08 PM MEZ","1105","2","4","Landing next to another player, to have the element of surprise.",""
"2018/05/14 1:28:04 PM MEZ","1106","2","2","Landing next in an area, looting first",""
"2018/05/14 1:28:51 PM MEZ","1107","3","4","Loot outside of main areas, then move to more crowded areas",""
"2018/05/14 1:30:38 PM MEZ","1108","1","3","Landing next to other players and be quicker than them","Did not find any weapons "" = ( """
"2018/05/14 1:31:40 PM MEZ","1109","1","4","Wanted to loot a remote place, but another player was quicker, so i switched to outside the area",""
"2018/05/14 3:53:05 PM MEZ","1301","1","3","Separated by others
searching first for weapons",""
"2018/05/14 3:56:14 PM MEZ","1302","3","3","Happened as expected.
Fast down searching for a kill or items",""
"2018/05/14 3:56:49 PM MEZ","1303","3","3","Same as always",""
"2018/05/14 3:57:34 PM MEZ","1304","4","4","Start outside to find weapons",""
"2018/05/14 3:58:17 PM MEZ","1305","4","4","Außerhalb Waffe suchen",""
"2018/05/14 4:00:14 PM MEZ","1306","2","2","Same as always",""
"2018/05/14 4:00:52 PM MEZ","1307","4","4","Außerhalb waffen suchen",""
"2018/05/15 1:51:05 PM MEZ","1308","4","4","Bandages FTW ",""
"2018/05/15 1:58:23 PM MEZ","1309","5","5","Scheiße",""
"2018/05/15 1:59:16 PM MEZ","1310","4","4","Auf in die Stadt",""
"2018/05/15 2:08:10 PM MEZ","1201","3","3","Find stuff, kill people","was too slow"
"2018/05/15 2:09:17 PM MEZ","1202","3","2","Again find stuff and try to survive","was killed from behind while searching for enemies"
"2018/05/15 2:10:49 PM MEZ","1203","1","2","Land in city and find good weapons + armor fast","was killed before i could react fast enough"
"2018/05/15 2:16:26 PM MEZ","1204","1","5","survive (I failed "";-)""","Instant death "":D"""
"2018/05/15 2:24:12 PM MEZ","1205","4","3","Land a bit distant form other players to gain a little time to collect things","pickaxe vs gun was fun"
"2018/05/15 2:25:34 PM MEZ","1206","3","3","like last round","shotgun is op"
"2018/05/15 2:26:09 PM MEZ","1207","2","4","same as before","should learn to hit the target"
"2018/05/15 2:32:51 PM MEZ","1208","2","4","Land on low ground 
and glide to high ground
for quick landing ",""
"2018/05/15 2:33:27 PM MEZ","1209","1","2","Strategy can i eat that?",""
"2018/05/15 2:36:27 PM MEZ","1210","1","2","Just survive more that 1 min ","i failed again"
"2018/05/15 2:37:07 PM MEZ","1211","5","4","Kill someone","i did it , fuck yeah"
"2018/05/15 2:37:45 PM MEZ","1212","3","4","land, find stuff, survive,",""
"2018/05/15 3:00:36 PM MEZ","1001","4","2","- No real strategy
- Stay in the white circle
- Find hot spots","Boring. I didn't get any real combat "":-c"""
"2018/05/15 3:01:39 PM MEZ","1002","4","3","- Start earlier than last round
- Look for interesting places from above",""
"2018/05/15 3:08:06 PM MEZ","0801","4","2","Try to learn the basics",""
"2018/05/15 3:31:15 PM MEZ","0802","1","3","Versuch Waffe zu finden
(Lagerhäuser)
-> zu langsam",""
"2018/05/15 3:32:14 PM MEZ","0803","1","4","1. Waffen finden
2. Verstecken und auf der Lauer liegen",""
"2018/05/15 3:35:12 PM MEZ","0804","1","2","Gleiche Strategie wie in voriger Runde",""
"2018/05/15 3:36:04 PM MEZ","0805","4","4","Waffe finden und sicheres Versteck",""
"2018/05/15 3:36:33 PM MEZ","0806","1","1","Waffe finden und auf Anhöhe verstecken",""
"2018/05/15 3:37:28 PM MEZ","0807","4","5","1. Finde Waffe
2. Auf Anhöhe verstecken",""
"2018/05/15 3:50:24 PM MEZ","0701","1","3","Mittig starten, Aufrüsten
nicht auffallen",""
"2018/05/15 3:51:48 PM MEZ","0702","1","4","In gerader Linie abspringen",""
"2018/05/15 3:52:28 PM MEZ","0703","4","4","Kopf unten halten, am Rand bleiben",""
"2018/05/15 3:56:10 PM MEZ","0704","5","5","Richtung Mitte des Kreises, dann angepasst und am Rand geblieben (Stage 2)",""
"2018/05/15 3:56:39 PM MEZ","0705","2","5","Loot Lake, dann Richtung Mitte",""
"2018/05/15 3:58:36 PM MEZ","0706","1","4","Zu den Moisty Mires, dann adaptiert, weil zu viele Spieler dort abgesprungen.",""
"2018/05/17 10:02:21 AM MEZ","0601","1","1","Drop onto Tilted Tower","Had to hover over weapon to see button for pickup."
"2018/05/17 10:03:18 AM MEZ","0602","4","3","Camp, try to get used to controller","Mistook hydrant for player"
"2018/05/17 10:04:15 AM MEZ","0603","2","4","Avoid other players dropping spots","Almost got one with the axe"
"2018/05/17 10:05:18 AM MEZ","0604","4","3","Keep a low profile after pushing early","my traps can kill after my death "":)"""
"2018/05/17 10:05:51 AM MEZ","0605","1","1","Be first to weapon",""
"2018/05/17 10:06:34 AM MEZ","0606","1","2","Just push the one guy in the building","lost the 1v1"
"2018/05/17 10:07:53 AM MEZ","0607","3","2","Watch people leave their safe places and catch them off guard",""
"2018/05/17 10:08:25 AM MEZ","0608","4","4","Don't panic.",""
"2018/05/17 11:56:20 AM MEZ","0510","4","4","Run away from threats
spawn at edge",""
"2018/05/17 12:39:14 PM MEZ","0901","3","1","learning the game","nothing worked"
"2018/05/17 12:39:49 PM MEZ","0902","5","2","surviving","saw no enemies"
"2018/05/17 12:41:37 PM MEZ","0903","2","2","try to repeat ""success"" from before","first encounter -> dead as usual"
"2018/05/17 12:44:56 PM MEZ","0904","3","3","getting Weapons early then flanking enemies ","something worked, yay "":)"""
"2018/05/17 1:36:09 PM MEZ","1311","4","4","Auf in die Stadt",""
"2018/05/17 1:36:37 PM MEZ","1312","4","4","Raus ins nichts",""
"2018/05/17 1:37:14 PM MEZ","1313","5","5","Weit draußen Aufrüsten dann in die Zone vorrücken",""
"2018/05/17 1:37:45 PM MEZ","1314","4","4","Weit außerhalb ausrüsten",""
"2018/05/17 1:38:33 PM MEZ","1315","5","5","Weit draußen starten
langsam rein",""
"2018/05/17 1:38:51 PM MEZ","1316","3","4","So wie davor",""
"2018/05/17 1:39:36 PM MEZ","1317","5","5","In die Stadt schnelles Spiel",""
"2018/05/17 1:39:57 PM MEZ","1318","5","5","Schnell in die Stadt",""